Financial year,Local authority name,Region,Measure,Value,Units
2021-22,Barking and Dagenham,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Barnet,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.6,Score (between 0 and 12)
2021-22,Barnsley,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Bath and North East Somerset,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Bedford,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Bexley,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Birmingham,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Blackburn with Darwen,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Blackpool,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Bolton,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,"Bournemouth, Christchurch and Poole",South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Bracknell Forest,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,Bradford,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Brent,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.6,Score (between 0 and 12)
2021-22,Brighton and Hove,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Bristol,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Bromley,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.7,Score (between 0 and 12)
2021-22,Buckinghamshire,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.1,Score (between 0 and 12)
2021-22,Bury,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Calderdale,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Cambridgeshire,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Camden,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Central Bedfordshire,East of England,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,Cheshire East,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Cheshire West and Chester,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.2,Score (between 0 and 12)
2021-22,City of London,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.3,Score (between 0 and 12)
2021-22,Cornwall,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,County Durham,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),8.2,Score (between 0 and 12)
2021-22,Coventry,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Croydon,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.8,Score (between 0 and 12)
2021-22,Cumbria,North West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.8,Score (between 0 and 12)
2021-22,Darlington,North East,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.9,Score (between 0 and 12)
2021-22,Derby,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Derbyshire,East Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,Devon,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7,Score (between 0 and 12)
2021-22,Doncaster,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.3,Score (between 0 and 12)
2021-22,Dorset,South West,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Dudley,West Midlands,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
2021-22,Ealing,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),6.7,Score (between 0 and 12)
2021-22,East Riding of Yorkshire,Yorkshire and The Humber,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.5,Score (between 0 and 12)
2021-22,East Sussex,South East,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.6,Score (between 0 and 12)
2021-22,Enfield,London,Carers of people in adult social care quality of life (Score (between 0 and 12)),7.4,Score (between 0 and 12)
